,SALE TYPE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,Price Per SQFT,HOA Per Month,STATUS,URL,SOURCE,MLS,LATITUDE,LONGITUDE,SHAPE
2,MLS Listing,Condo/Co-op,2331 42nd Ave SW #314,Seattle,WA,98116,300000,1,1,North Admiral,650,10796,2002,141,462,341,Active,http://www.redfin.com/WA/Seattle/2331-42nd-Ave-SW-98116/unit-314/home/47926,NWMLS,1619623,47.5823835,-122.3853712,"{'spatialReference': {'wkid': 4326}, 'x': -122.3853712, 'y': 47.5823835}"
10,MLS Listing,Condo/Co-op,6970 California Ave SW Unit B206,Seattle,WA,98136,289950,1,1,Gatewood,600,33205,1989,3,483,298,Active,http://www.redfin.com/WA/Seattle/6970-California-Ave-SW-98136/unit-B206/home/12537016,NWMLS,1687558,47.5410871,-122.3867872,"{'spatialReference': {'wkid': 4326}, 'x': -122.3867872, 'y': 47.54108710000001}"
12,MLS Listing,Condo/Co-op,801 E Aloha St #7,Seattle,WA,98102,297000,1,1,Capitol Hill,619,5400,1959,6,480,397,Active,http://www.redfin.com/WA/Seattle/801-E-Aloha-St-98102/unit-7/home/173638327,NWMLS,1685397,47.6266637,-122.3220566,"{'spatialReference': {'wkid': 4326}, 'x': -122.32205659999998, 'y': 47.6266637}"
13,MLS Listing,Condo/Co-op,10329 Meridian Ave N Unit B202,Seattle,WA,98133,275000,1,1,Northgate,694,20304,1984,7,396,360,Active,http://www.redfin.com/WA/Seattle/10329-Meridian-Ave-N-98133/unit-B202/home/26199,NWMLS,1685884,47.704129,-122.3345582,"{'spatialReference': {'wkid': 4326}, 'x': -122.3345582, 'y': 47.704129}"
15,MLS Listing,Condo/Co-op,5824 NE 75th St Unit D-202,Seattle,WA,98115,279000,1,1,Sand Point,649,114531,1977,10,430,319,Active,http://www.redfin.com/WA/Seattle/5824-NE-75th-St-98115/unit-D202/home/103955036,NWMLS,1683350,47.6830824,-122.26491,"{'spatialReference': {'wkid': 4326}, 'x': -122.26491, 'y': 47.6830824}"
17,MLS Listing,Condo/Co-op,9030 Seward Park Ave S #409,Seattle,WA,98118,255000,1,1,Rainier Valley,722,65442,1971,12,353,360,Active,http://www.redfin.com/WA/Seattle/9030-Seward-Park-Ave-S-98118/unit-409/home/18804,NWMLS,1682052,47.5221233,-122.2637755,"{'spatialReference': {'wkid': 4326}, 'x': -122.2637755, 'y': 47.5221233}"
18,MLS Listing,Condo/Co-op,8406 26th Ave SW Unit B,Seattle,WA,98106,300000,2,1.5,Westwood Village,1014,197724,1979,14,296,380,Active,http://www.redfin.com/WA/Seattle/8406-26th-Ave-SW-98106/unit-B/home/17658,NWMLS,1683680,47.5279473,-122.3654565,"{'spatialReference': {'wkid': 4326}, 'x': -122.3654565, 'y': 47.5279473}"
19,MLS Listing,Condo/Co-op,8931 Ravenna Ave NE,Seattle,WA,98115,299950,1,1,Wedgwood,773,57669,1981,15,388,333,Active,http://www.redfin.com/WA/Seattle/8931-Ravenna-Ave-NE-98115/home/46918,NWMLS,1683520,47.6936307,-122.3035915,"{'spatialReference': {'wkid': 4326}, 'x': -122.3035915, 'y': 47.6936307}"
20,MLS Listing,Condo/Co-op,756 Broadway Ave E #101,Seattle,WA,98102,299950,1,1,Capitol Hill,700,10796,1929,21,429,385,Active,http://www.redfin.com/WA/Seattle/756-Broadway-98122/unit-101/home/148718155,NWMLS,1680258,47.60916,-122.3203923,"{'spatialReference': {'wkid': 4326}, 'x': -122.3203923, 'y': 47.60916}"
22,MLS Listing,Condo/Co-op,3213 Harbor Ave SW #210,Seattle,WA,98126,299450,1,1,Alki,573,22032,2007,22,523,335,Active,http://www.redfin.com/WA/Seattle/3213-Harbor-Ave-SW-98126/unit-210/home/12093139,NWMLS,1675465,47.5752219,-122.3714379,"{'spatialReference': {'wkid': 4326}, 'x': -122.3714379, 'y': 47.5752219}"
